,name,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
182,A Night Off (feat. Lloyd),Drake,So Far Gone,0.611,0.508,11,-5.573,0,0.0741,0.374,3.87e-06,0.168,0.368,103.612
183,Say What's Real,Drake,So Far Gone,0.462,0.773,8,-5.375,1,0.288,0.632,0.0,0.212,0.455,86.157
184,Little Bit (feat. Lykke Li),Drake,So Far Gone,0.758,0.888,11,-4.899,0,0.0374,0.0999,0.0336,0.661,0.771,120.392
185,Best I Ever Had,Drake,So Far Gone,0.395,0.922,1,-2.176,1,0.375,0.19,0.0,0.134,0.558,162.361
186,Unstoppable (feat. Santigold & Lil Wayne),Drake,So Far Gone,0.774,0.912,2,-2.787,0,0.347,0.165,0.0,0.745,0.821,150.083
187,Uptown (feat. Bun B & Lil Wayne),Drake,So Far Gone,0.416,0.824,1,-3.075,1,0.343,0.00391,0.0,0.104,0.417,85.433
188,Sooner Than Later,Drake,So Far Gone,0.616,0.501,5,-5.722,0,0.24,0.178,1.2e-05,0.105,0.506,94.554
189,Bria's Interlude (feat. Omarion),Drake,So Far Gone,0.49,0.507,2,-6.205,0,0.0849,0.209,0.00104,0.119,0.237,147.037
190,The Calm,Drake,So Far Gone,0.471,0.784,11,-8.25,0,0.883,0.819,1.13e-05,0.107,0.258,160.833
191,Outro (feat. Chilly Gonzales),Drake,So Far Gone,0.397,0.0906,5,-21.655,1,0.054,0.988,0.856,0.344,0.136,185.167
192,Brand New,Drake,So Far Gone,0.399,0.491,6,-8.992,1,0.0714,0.631,0.0,0.171,0.356,94.542
193,Congratulations,Drake,So Far Gone,0.333,0.859,6,-2.286,1,0.148,0.0185,0.0,0.22,0.125,86.882
194,I'm Goin In,Drake,So Far Gone,0.662,0.763,1,-8.455,1,0.377,0.0389,0.0,0.103,0.566,170.031
195,Fear,Drake,So Far Gone,0.334,0.783,9,-6.144,0,0.181,0.0615,0.0,0.11,0.308,83.944
196,"Two Birds, One Stone",Drake,"Two Birds, One Stone",0.529,0.838,8,-2.619,1,0.212,0.337,0.0,0.127,0.355,88.052
197,Fake Love,Drake,Fake Love,0.923,0.535,9,-7.353,0,0.301,0.161,0.0,0.103,0.74,133.942
198,Sneakin’,Drake,Sneakin’,0.806,0.558,8,-6.538,1,0.172,0.00496,1.45e-06,0.16,0.26,85.011
199,Summer Sixteen,Drake,Summer Sixteen,0.595,0.46,1,-7.607,1,0.396,0.00354,2.76e-05,0.147,0.0542,144.988
200,Back To Back,Drake,Back To Back,0.893,0.48,1,-3.728,0,0.356,0.00854,0.0,0.116,0.382,86.976
201,Charged Up,Drake,Charged Up,0.457,0.694,6,-7.018,0,0.608,0.91,0.0,0.121,0.383,177.777
202,Right Hand,Drake,Right Hand,0.915,0.301,2,-7.657,1,0.237,0.117,0.0,0.089,0.351,100.519
203,0 To 100 / The Catch Up,Drake,0 To 100 / The Catch Up,0.559,0.716,11,-3.964,0,0.39,0.737,0.0,0.252,0.504,176.618
204,9AM in Dallas - Edited Version,Drake,9AM in Dallas (Edited Version),0.506,0.837,5,-5.692,1,0.3,0.336,0.0,0.281,0.408,117.68
205,Big Amount,2 Chainz,Big Amount,0.528,0.815,3,-4.878,0,0.297,0.0251,0.0,0.107,0.0937,133.914
206,No Lie,2 Chainz,No Lie (Explicit Version),0.467,0.674,6,-5.919,0,0.225,0.0176,0.0,0.415,0.581,130.585
